id,nome,data,tasso
MII173101,Carinola,2024-10-13,100.8065
MII173114,Cassino,2024-10-13,174.0157
MII173237,Castelfranco Emilia,2024-10-13,69.7987
MII173259,Castelvetrano,2024-10-13,161.3636
MII173265,Castrovillari,2024-10-13,146.2810
MII173285,Catania Bicocca,2024-10-13,133.0827
MII173301,Catania Piazza Lanza,2024-10-13,152.6882
MII173311,Catanzaro,2024-10-13,103.0303
MII173356,Chiavari,2024-10-13,123.0769
MII173364,Chieti,2024-10-13,164.5570
MII173688,Civitavecchia Giuseppe Passerini,2024-10-13,90.2174
MII172208,Civitavecchia Nuovo Complesso,2024-10-13,168.8103
MII173712,Como,2024-10-13,188.4444
MII173341,Cosenza,2024-10-13,125.5924
MII173747,Cremona,2024-10-13,150.0000
MII173324,Crotone,2024-10-13,127.3684
MII173764,Cuneo,2024-10-13,108.2447
MII173784,Eboli,2024-10-13,81.4815
MII173813,Enna,2024-10-13,125.3086
MII173994,Favignana,2024-10-13,103.3708
MII174501,Fermo,2024-10-13,123.2558
MII174686,Ferrara,2024-10-13,155.7377
MII174825,Firenze Mario Gozzini,2024-10-13,136.3636
MII174720,Firenze Sollicciano,2024-10-13,143.4903
MII176375,Foggia,2024-10-13,205.5072
MII176403,Forlì,2024-10-13,123.3083
MII176414,Fossano,2024-10-13,81.6176
MII176424,Fossombrone,2024-10-13,87.1287
MII176437,Frosinone,2024-10-13,126.3918
MII176451,Gela,2024-10-13,141.6667
MII152284,Genova Marassi,2024-10-13,127.1028
MII176703,Genova Pontedecimo,2024-10-13,168.6047
MII176714,Giarre,2024-10-13,127.5862
MII176719,Gorizia,2024-10-13,137.7358
MII176743,Grosseto,2024-10-13,213.3333
MII176749,Imperia,2024-10-13,138.4615
MII176759,Isernia,2024-10-13,134.0000
MII176771,Isili,2024-10-13,71.9626
MII176781,Ivrea,2024-10-13,135.6383
MII177134,L'Aquila,2024-10-13,78.3784
MII176788,La Spezia,2024-10-13,117.4757
MII177107,Lanciano,2024-10-13,111.2108
MII177118,Lanusei,2024-10-13,84.8485
MII177323,Larino,2024-10-13,104.2017
MII177332,Latina,2024-10-13,163.6364
MII177346,Laureana di Borrello,2024-10-13,151.3514
MII177384,Lauro,2024-10-13,12.0000
MII177420,Lecce,2024-10-13,162.0783
MII177436,Lecco,2024-10-13,158.4906
MII177463,Livorno,2024-10-13,137.7778
MII177498,Livorno Gorgona,2024-10-13,94.3820
MII177996,Locri,2024-10-13,145.3488
MII178027,Lodi,2024-10-13,211.9048
MII178035,Lucca,2024-10-13,178.0488
MII178045,Lucera,2024-10-13,116.2963
MII178072,Mantova,2024-10-13,154.6392
MII178085,Massa,2024-10-13,140.4762
MII178115,Massa Marittima,2024-10-13,100.0000
MII178124,Matera,2024-10-13,145.2381
MII178141,Melfi,2024-10-13,143.6508
MII178148,Messina,2024-10-13,97.2727
MII158895,Milano San Vittore,2024-10-13,227.5168
MII178501,Milano San Vittore femminile,2024-10-13,171.1111
MII178638,Modena,2024-10-13,152.8455
MII178659,Monza,2024-10-13,180.4401
MII178666,Napoli Poggioreale,2024-10-13,157.2901
MII178672,Napoli Secondigliano,2024-10-13,130.6466
MII178681,Noto,2024-10-13,81.8182
MII178700,Novara,2024-10-13,112.1795
MII179224,Nuoro,2024-10-13,69.7761
MII178003,Onanì,2024-10-13,71.7647
MII179237,Opera,2024-10-13,144.3951
MII179274,Oristano,2024-10-13,92.4242
MII179280,Orvieto,2024-10-13,124.4898
MII179290,Padova,2024-10-13,117.3913
MII179299,Padova Nuovo Complesso,2024-10-13,147.2000
MII179306,Palermo Pagliarelli,2024-10-13,119.9827
MII179324,Palermo Ucciardone,2024-10-13,106.1224
MII179331,Paliano,2024-10-13,43.4211
MII179342,Palmi,2024-10-13,117.7305
MII179353,Paola,2024-10-13,118.1818
MII179364,Parma,2024-10-13,115.0400
MII182910,Pavia,2024-10-13,133.8521
MII179781,Perugia,2024-10-13,150.0000
MII179818,Pesaro,2024-10-13,170.3947
MII179830,Pescara,2024-10-13,168.7500
MII179842,Piacenza,2024-10-13,122.8501
MII179856,Piazza Armerina,2024-10-13,156.2500
MII182919,Pisa,2024-10-13,160.3352
MII179896,Pistoia,2024-10-13,82.8947
MII179913,Pordenone,2024-10-13,145.9459
MII179932,Porto Azzurro,2024-10-13,96.2617
MII179938,Potenza,2024-10-13,184.6154
