id,nome,indirizzo,tipo,posti_regolamentari,posti_non_disponibili,posti_reali,tasso_affollamento,posti_occupati,posti_aggiornati_al,personale_polizia_previsti,personale_polizia_effettivi,personale_polizia_aggiornato_a,personale_amministrativi_previsti,personale_amministrativi_effettivi,personale_amministrativo_aggiornato_al,latitudine,longitude
MII181385,Tempio Pausania,Localit&agrave; Nuchis n. snc - 07029 Tempio Pausania,Casa di reclusione - Paolo Pittalis,170,0,170,1.02,174,2024-10-05,146,116,2024-07-31,19,13,2024-07-31,40.8973821,9.1035159
MII181392,Teramo,C.da Ceppata n.1 - 64100 Teramo,Casa circondariale,255,1,254,1.39,353,2024-10-05,206,180,2024-07-31,21,19,2024-07-31,42.6612893,13.6983524
MII181401,Termini Imerese,Via Zara n.28 - 90018 Termini Imerese,Casa circondariale - Antonino Burrafato,95,0,95,1.11,105,2024-10-05,80,99,2024-07-31,13,9,2024-07-31,37.983651,13.695554
MII181407,Terni,Strada delle Campore n.32 - 05100 Terni,Casa circondariale,422,0,422,1.34,565,2024-10-05,243,194,2024-07-31,25,29,2024-07-31,42.5545755,12.5982445
MII181417,Tolmezzo,Via Paluzza n.77 - 33028 Tolmezzo,Casa circondariale,149,0,149,0.95,142,2024-10-05,175,168,2024-07-31,19,10,2024-07-31,46.41857068653332,13.0180531668208
MII181424,Torino,VIa M. Aglietta n.35 - 10151 Torino,Casa circondariale - Lorusso Cutugno,1117,21,1096,1.33,1453,2024-10-05,762,712,2024-07-31,53,46,2024-07-31,45.1013372,7.6199624
MII181434,Trani,Via Andria n 300 - 76125 Trani,Casa circondariale,447,146,301,1.29,388,2024-10-05,237,191,2024-07-31,26,26,2024-07-31,41.275354,16.3959453
MII181440,Trani femminile,Piazza Plebiscito n.18 - 76125 Trani,Casa di reclusione,32,0,32,1.16,37,2024-10-05,0,0,,0,0,,41.275354,16.3959453
MII181625,Trapani,Via Madonna di Fatima n.222 - 91016 Trapani,Casa circondariale - Pietro Cerulli,555,58,497,1.06,527,2024-10-05,266,242,2024-07-31,25,25,2024-07-31,38.0160543,12.5437475
MII181636,Trento,Via Cesare Beccaria n.13 - 38121 Trento,Casa circondariale - Spini di Gardolo,422,5,417,0.92,382,2024-10-05,199,180,2024-07-31,27,19,2024-07-31,46.1268099,11.09424056
