id istituto,nome istituto,tasso di affollamento,indirizzo,tipo istituto,posti regolamentari,posti non disponibili,posti disponibili,totale detenuti,dati aggiornati al,polizia penitenziaria - previsti,polizia penitenziaria - effettivi,personale polizia penitenziaria aggiornato al,amministrativi - effettivi,amministrativi - previsti,personale amministrativo aggiornato al,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,data di aggiornamento spazi detentivi,latitudine,longitude,scheda istituto,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers
MII172814,Brissogne - Aosta,75.0,"Loc. Les Iles, 14 n.14  - 761900 Brissogne",Casa circondariale,181,10,171,129,2025-03-08,138,115,2025-12-31,0,0,,167.0,10.0,48.0,23.0,0.0,167.0,161.0,167.0,2025-03-08,45.7285199,7.4066634,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172814"">Vai alla scheda istituto</a>",157.0,0.82,0.89,2.69,5.61,0.77,0.8,0.77
MII172827,Bergamo,187.0,via Monte Gleno n.61 - 24125 Bergamo,Casa circondariale,319,1,318,596,2025-03-08,221,196,2025-12-31,14,23,2025-12-31,192.0,1.0,113.0,53.0,2.0,192.0,192.0,192.0,2025-03-08,45.7566557,9.7542192,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172827"">Vai alla scheda istituto</a>",191.0,3.12,0.33,5.27,11.25,3.1,3.1,3.1
MII172835,Cagliari Uta,132.0,Zona industriale Macchiareddu 2&deg; strada ovest Uta n.0 - 09010 Cagliari,Casa circondariale - Ettore Scalas,561,0,561,741,2025-03-08,394,309,2025-12-31,31,41,2025-12-31,282.0,0.0,278.0,22.0,26.0,282.0,282.0,282.0,2025-03-08,39.1694193,8.93944903,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII172835"">Vai alla scheda istituto</a>",282.0,2.63,0.42,2.67,33.68,2.63,2.63,2.63
MII173006,Caltagirone,113.0,Contrada Noce San Nicola le Canne s.n.c. n. 00 -  95041 Caltagirone,Casa circondariale,541,164,377,425,2025-03-08,197,175,2025-12-31,21,24,2025-12-31,215.0,70.0,186.0,70.0,0.0,215.0,215.0,195.0,2025-03-08,37.2372009,14.5132023,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173006"">Vai alla scheda istituto</a>",145.0,2.93,0.41,2.28,6.07,1.98,1.98,2.18
MII173063,Caltanissetta,137.0,Via Messina n. 94 - 93100 Caltanissetta,Casa circondariale,183,0,183,251,2025-03-08,120,146,2025-12-31,20,20,2025-12-31,111.0,0.0,108.0,103.0,2.0,111.0,110.0,108.0,2025-03-08,37.49438296522256,14.05615604195194,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173063"">Vai alla scheda istituto</a>",111.0,2.26,0.58,2.32,2.44,2.26,2.28,2.32
MII173088,Campobasso,161.0,Via Cavour n. 52 - 86100 Campobasso,Casa circondariale,107,10,97,156,2025-03-08,105,91,2025-12-31,8,14,2025-12-31,74.0,7.0,45.0,61.0,1.0,74.0,74.0,74.0,2025-03-08,41.555686,14.66172195,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173088"">Vai alla scheda istituto</a>",67.0,2.33,0.58,3.47,2.56,2.11,2.11,2.11
MII173101,Carinola,87.0,Via provinciale San Biagio n.6 - 81030 CARINOLA,Casa di reclusione - Gian Battista Novelli,562,28,534,464,2025-03-08,179,163,2025-12-31,26,29,2025-12-31,280.0,26.0,140.0,139.0,6.0,164.0,279.0,137.0,2025-03-08,41.186987,13.9812129,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173101"">Vai alla scheda istituto</a>",254.0,1.83,0.35,3.31,3.34,2.83,1.66,3.39
MII173114,Cassino,166.0,Via Sferracavalli n 3 - 03043 Cassino,Casa circondariale,200,73,127,211,2025-03-08,142,102,2025-12-31,19,18,2025-12-31,118.0,70.0,22.0,108.0,0.0,118.0,118.0,118.0,2025-03-08,41.4925576,13.8305297,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173114"">Vai alla scheda istituto</a>",48.0,4.4,0.48,9.59,1.95,1.79,1.79,1.79
MII173237,Castelfranco Emilia,57.0,Via Forte Urbano n.1 - 41013 Castelfranco Emilia,Casa di reclusione,191,42,149,85,2025-03-08,62,68,2025-12-31,14,16,2025-12-31,57.0,12.0,45.0,34.0,2.0,57.0,57.0,45.0,2025-03-08,44.5950245,11.0529006,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173237"">Vai alla scheda istituto</a>",45.0,1.89,0.8,1.89,2.5,1.49,1.49,1.89
MII173259,Castelvetrano,141.0,Contrada Strasatto n. snc - 91022 Castelvetrano,Casa circondariale,44,0,44,62,2025-03-08,50,52,2025-12-31,11,12,2025-12-31,40.0,0.0,25.0,0.0,0.0,40.0,2.0,2.0,2025-03-08,37.6828513,12.7955336,"<a href=""https://www.giustizia.it/giustizia/page/it/dettaglio_scheda_istituto_penitenziario?s=MII173259"">Vai alla scheda istituto</a>",40.0,1.55,0.84,2.48,,1.55,31.0,31.0
