id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,posti_reali,tasso_occupazione
MII160204,Benevento,Casa circondariale - Michele Gaglione,259,7,409,2024-08-03,252,1.62
MII181934,Viterbo,Casa circondariale  N.C.  - Nicandro Izzo,440,35,687,2024-08-03,405,1.7
MII172827,Bergamo,Casa circondariale,319,1,572,2024-08-03,318,1.8
MII176771,Isili,Casa di reclusione,130,23,80,2024-08-03,107,0.75
MII159060,Arienzo,Casa di reclusione - Gennaro De Angelis,58,0,91,2024-08-03,58,1.57
MII177134,L'Aquila,Casa circondariale,228,6,165,2024-08-03,222,0.74
MII152284,Genova Marassi,Casa circondariale,535,2,687,2024-08-03,533,1.29
MII176403,Forlì,Casa circondariale,144,12,153,2024-08-03,132,1.16
MII182339,Reggio Emilia,Istituti di pena - casa circondariale e di reclusione,292,58,289,2024-08-03,234,1.24
MII180001,Rimini,Casa circondariale,118,0,157,2024-08-03,118,1.33
MII174686,Ferrara,Casa circondariale - Costantino Satta,244,0,383,2024-08-03,244,1.57
MII179842,Piacenza,Casa circondariale - San Lazzaro,416,3,483,2024-08-03,413,1.17
MII172508,Bologna,Casa circondariale - Rocco D'Amato,498,6,832,2024-08-03,492,1.69
MII179981,Ravenna,Casa circondariale,49,0,81,2024-08-03,49,1.65
MII179364,Parma,Casa di reclusione,655,25,713,2024-08-03,630,1.13
MII178638,Modena,Casa circondariale,372,0,528,2024-08-03,372,1.42
MII181125,Siracusa,Casa circondariale,545,0,671,2024-08-03,545,1.23
