name_toclean,name_match,count
lauro istituto custodia attenuata per madri,lauro istituto custodia attenuata per madri,6
"sant'angelo dei lombardi ""l.famiglietti r.forgetta g.bartolo"" casa di reclusione",sant'angelo dei lombardi casa di reclusione,6
benevento casa circondariale,benevento casa circondariale,3
pozzuoli casa circondariale femminile,pozzuoli casa circondariale femminile,4
eboli casa di reclusione,eboli casa di reclusione,4
vallo della lucania casa circondariale,vallo della lucania casa circondariale,5
forli' casa circondariale,reggio calabria arghillà casa circondariale,2
castelfranco emilia casa di reclusione,castelfranco emilia casa di reclusione,5
modena casa circondariale,modena casa circondariale,3
parma casa di reclusione,parma casa di reclusione,4
ravenna casa circondariale,ravenna casa circondariale,3
rimini casa circondariale,rimini casa circondariale,3
gorizia casa circondariale,gorizia casa circondariale,3
pordenone casa circondariale,pordenone casa circondariale,3
trieste casa circondariale,trieste casa circondariale,3
tolmezzo casa circondariale,tolmezzo casa circondariale,3
udine casa circondariale,udine casa circondariale,3
cassino casa circondariale,cassino casa circondariale,3
paliano casa di reclusione,paliano casa di reclusione,4
latina casa circondariale,latina casa circondariale,3
velletri casa circondariale,velletri casa circondariale,3
chiavari casa di reclusione,chiavari casa di reclusione,4
imperia casa circondariale,imperia casa circondariale,3
la spezia casa circondariale,la spezia casa circondariale,4
bergamo casa circondariale,bergamo casa circondariale,3
como casa circondariale,como casa circondariale,3
cremona casa circondariale,cremona casa circondariale,3
lecco casa circondariale,lecco casa circondariale,3
lodi casa circondariale,lodi casa circondariale,3
monza casa circondariale,monza casa circondariale,3
mantova casa circondariale,mantova casa circondariale,3
pavia casa circondariale,pavia casa circondariale,3
vigevano casa di reclusione,vigevano casa di reclusione,4
sondrio casa circondariale,sondrio casa circondariale,3
busto arsizio casa circondariale,busto arsizio casa circondariale,4
varese casa circondariale,varese casa circondariale,3
ancona casa circondariale,ancona montacuto casa circondariale,3
ascoli piceno casa circondariale,ascoli piceno casa circondariale,4
fermo casa di reclusione,fermo casa di reclusione,4
fossombrone casa di reclusione,fossombrone casa di reclusione,4
pesaro casa circondariale,pesaro casa circondariale,3
